Event ID,Timestamp,Target Timestamp,Proton Intensity,e0.5_tminus24,e0.5_tminus23,e0.5_tminus22,e0.5_tminus21,e0.5_tminus20,e0.5_tminus19,e0.5_tminus18,e0.5_tminus17,e0.5_tminus16,e0.5_tminus15,e0.5_tminus14,e0.5_tminus13,e0.5_tminus12,e0.5_tminus11,e0.5_tminus10,e0.5_tminus9,e0.5_tminus8,e0.5_tminus7,e0.5_tminus6,e0.5_tminus5,e0.5_tminus4,e0.5_tminus3,e0.5_tminus2,e0.5_tminus1,e0.5_t,e0.5_max_intensity,e1.8_tminus24,e1.8_tminus23,e1.8_tminus22,e1.8_tminus21,e1.8_tminus20,e1.8_tminus19,e1.8_tminus18,e1.8_tminus17,e1.8_tminus16,e1.8_tminus15,e1.8_tminus14,e1.8_tminus13,e1.8_tminus12,e1.8_tminus11,e1.8_tminus10,e1.8_tminus9,e1.8_tminus8,e1.8_tminus7,e1.8_tminus6,e1.8_tminus5,e1.8_tminus4,e1.8_tminus3,e1.8_tminus2,e1.8_tminus1,e1.8_t,e1.8_max_intensity,e4.4_tminus24,e4.4_tminus23,e4.4_tminus22,e4.4_tminus21,e4.4_tminus20,e4.4_tminus19,e4.4_tminus18,e4.4_tminus17,e4.4_tminus16,e4.4_tminus15,e4.4_tminus14,e4.4_tminus13,e4.4_tminus12,e4.4_tminus11,e4.4_tminus10,e4.4_tminus9,e4.4_tminus8,e4.4_tminus7,e4.4_tminus6,e4.4_tminus5,e4.4_tminus4,e4.4_tminus3,e4.4_tminus2,e4.4_tminus1,e4.4_t,e4.4_max_intensity,p_tminus24,p_tminus23,p_tminus22,p_tminus21,p_tminus20,p_tminus19,p_tminus18,p_tminus17,p_tminus16,p_tminus15,p_tminus14,p_tminus13,p_tminus12,p_tminus11,p_tminus10,p_tminus9,p_tminus8,p_tminus7,p_tminus6,p_tminus5,p_tminus4,p_tminus3,p_tminus2,p_tminus1,p_t,p_max_intensity,Sunspot Number,cme_donki_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,Type2_Viz_Area,solar_wind_speed,diffusive_shock,half_richardson_value,CMEs Past Month,CMEs Past 9 Hours,CMEs Speed > 1000,Max CME Speed
16,2012-05-26 10:29:00,2012-05-26 10:59:00,0.0002264,3.88452,3.08388,4.15138,3.29146,3.8845,3.49902,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,4.24036,0.0268896,0.029334,0.0350382,0.0301488,0.0350378,0.029334,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0374824,0.0032558,0.00200356,0.00350626,0.00350624,0.00375672,0.00250444,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00425762,7.5466e-05,0.000415066,0.000301868,0.000113202,0.000339602,0.000339602,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000415066,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 10:34:00,2012-05-26 11:04:00,0.000188668,3.08388,4.15138,3.29146,3.8845,3.49902,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,4.24036,0.029334,0.0350382,0.0301488,0.0350378,0.029334,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.0374824,0.00200356,0.00350626,0.00350624,0.00375672,0.00250444,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00425762,0.000415066,0.000301868,0.000113202,0.000339602,0.000339602,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000415066,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 10:39:00,2012-05-26 11:09:00,0.000377334,4.15138,3.29146,3.8845,3.49902,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,4.24036,0.0350382,0.0301488,0.0350378,0.029334,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.0374824,0.00350626,0.00350624,0.00375672,0.00250444,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00425762,0.000301868,0.000113202,0.000339602,0.000339602,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 10:44:00,2012-05-26 11:14:00,0.0002264,3.29146,3.8845,3.49902,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,4.24036,0.0301488,0.0350378,0.029334,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0374824,0.00350624,0.00375672,0.00250444,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00425762,0.000113202,0.000339602,0.000339602,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 10:49:00,2012-05-26 11:19:00,0.000339598,3.8845,3.49902,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,3.43972,4.24036,0.0350378,0.029334,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0260746,0.0374824,0.00375672,0.00250444,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00576028,0.00576028,0.000339602,0.000339602,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000188668,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 10:54:00,2012-05-26 11:24:00,0.000264134,3.49902,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,3.43972,3.43972,4.24036,0.029334,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0260746,0.0309636,0.0374824,0.00250444,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00576028,0.00200358,0.00576028,0.000339602,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000188668,0.000188666,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 10:59:00,2012-05-26 11:29:00,0.0003396,3.61764,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,3.43972,3.43972,3.32112,4.24036,0.026075,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0260746,0.0309636,0.0277044,0.0374824,0.00275492,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00576028,0.00200358,0.0037567,0.00576028,0.000264132,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000188668,0.000188666,0.0002264,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 11:04:00,2012-05-26 11:34:00,0.0001132,3.67694,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,3.43972,3.43972,3.32112,3.4694,4.24036,0.0260748,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0260746,0.0309636,0.0277044,0.0228154,0.0374824,0.00300534,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00576028,0.00200358,0.0037567,0.00250446,0.00576028,0.000150934,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000188668,0.000188666,0.0002264,0.000188668,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 11:09:00,2012-05-26 11:39:00,0.000377332,3.97346,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,3.43972,3.43972,3.32112,3.4694,3.79554,4.24036,0.0342232,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0260746,0.0309636,0.0277044,0.0228154,0.0260748,0.0374824,0.00325584,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00576028,0.00200358,0.0037567,0.00250446,0.00250448,0.00576028,0.000226402,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000188668,0.000188666,0.0002264,0.000188668,0.000377334,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
16,2012-05-26 11:14:00,2012-05-26 11:44:00,0.000377334,3.97348,3.61764,4.12176,3.91418,3.43974,3.70662,3.85486,3.49904,3.85486,3.52868,3.73624,3.3211,3.94382,3.49904,4.00314,4.24036,3.85488,3.29146,3.26178,3.43972,3.43972,3.32112,3.4694,3.79554,3.02458,4.24036,0.0325934,0.02851924,0.02363024,0.0252598,0.0350378,0.0301488,0.0374824,0.0350378,0.0301488,0.0358528,0.02200056,0.024445,0.034223,0.0325936,0.034223,0.035038,0.0277042,0.030149,0.024445,0.0260746,0.0309636,0.0277044,0.0228154,0.0260748,0.020371,0.0374824,0.00350624,0.0037567,0.00300536,0.00200356,0.00225402,0.002254,0.0037567,0.00425762,0.00150266,0.00300536,0.00350624,0.00225402,0.00200356,0.0027549,0.00325578,0.0037567,0.00350626,0.00175314,0.00275492,0.00576028,0.00200358,0.0037567,0.00250446,0.00250448,0.00250444,0.00576028,0.000301866,0.000301866,0.000264134,0.000264134,0.000188666,0.000377334,0.000264134,0.000301866,0.0002264,0.000339598,0.0003396,0.000339602,0.000264134,0.000264132,0.000264132,0.000301866,0.000150934,0.000150932,0.000264134,0.000188668,0.000188666,0.0002264,0.000188668,0.000377334,0.0002264,0.000377334,80,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,23,1,0,430
